schema_id,template_id,authored_template_id,category_path,parent_category,leaf_category,sub_category,category_gr,cta_map_key,cta_url,template_status,match_mode,template_file,fingerprint,n_sections,n_rows_total,last_section,last_label,example_count,first_example
sha1:21bacaa0fccaebbe3e5c1908666176e9a574183c,enisxytes,enisxytes_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > Ενισχυτές,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,Ενισχυτές,Ενισχυτές,Ενισχυτές,https://www.etranoulis.gr/eikona-hxos/audio-systems/enisxytes,active,direct_single,resources/templates/electronet/enisxytes.json,f13f5a73fdd10e201e4125c2cfde381d400879f8eed9c4fcfc356f5c2195e154,3,30,Γενικά Χαρακτηριστικά,Βάθος Συσκευής σε Εκατοστά,1,https://www.electronet.gr/eikona-ihos/audio-home-systems/enishytes/radioenishytis-akai-as110ra-320bt
sha1:17658a4bc5514cf81e7f939685bfedc586294115,ixeia,ixeia_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > Ηχεία,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,Ηχεία,Ηχεία,Ηχεία,https://www.etranoulis.gr/eikona-hxos/audio-systems/hxeia,active,direct_single,resources/templates/electronet/ixeia.json,9301c2fe4aefd3812b1893a3bbc10fee15cbf6fb24baede3c9c15254c1d26072,4,34,Γενικά Χαρακτηριστικά,Διαστάσεις Συσκευής σε Εκατοστά (Υ χ Π χ Β,2,https://www.etranoulis.gr/eikona-hxos/audio-systems/hxeia/forhto-hxeio-akai-abts-0
sha1:2a906c1d8ec243b76230efc4aa4069f13f2a1c78,pikap,pikap_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Audio Systems > Πικαπ,ΕΙΚΟΝΑ & ΗΧΟΣ,Audio Systems,Πικαπ,Πικαπ,Πικαπ,https://www.etranoulis.gr/index.php?route=product/category&path=59_100_310,active,direct_single,resources/templates/electronet/pikap.json,82f613a991805d8fc8e1d1aae1049f3b3825c6610d5e33ef577559f7d3bfd623,2,16,Γενικά,Χώρα Κατασκευής,1,https://www.electronet.gr/eikona-ihos/audio-home-systems/pikap/pikap-akai-att-11bt
sha1:8f70ddae04ec2f19b7e65d78a6871ad4a8edbeea,car_audio,car_audio_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Car Audio > -,ΕΙΚΟΝΑ & ΗΧΟΣ,Car Audio,,CAR AUDIO,CAR AUDIO,https://www.etranoulis.gr/eikona-hxos/car-audio,active,direct_single,resources/templates/electronet/car_audio.json,a733d9bf299a8a8276d32109871649e886e723fb417922a3456e3ece0f9d14c9,4,24,Γενικά,Χώρα Κατασκευής,1,https://www.electronet.gr/eikona-ihos/car-audio/ihosystimata-aytokinitoy/ihosystima-aytokinitoy-philips-ce235btgrs
sha1:dea97926076f03ad78f1b4e4276f22bf3c8cae57,tv_box,tv_box_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Αξεσουάρ > TV Box,ΕΙΚΟΝΑ & ΗΧΟΣ,Αξεσουάρ,TV Box,TV Box,TV Box,https://www.etranoulis.gr/eikona-hxos/eikona-ixos/tv-box,manual_only,manual_only,resources/templates/electronet/tv_box.json,949818594e7982f70e3d076671f3c62a29a74fade182c69692262067af0543a1,1,1,TODO,NEEDS_MANUAL_LABELS,0,
sha1:8cefea1eec4f996d2d676a05907dc7ace35ad473,tv_control,tv_control_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Αξεσουάρ > TV Control,ΕΙΚΟΝΑ & ΗΧΟΣ,Αξεσουάρ,TV Control,TV Control,TV Control,https://www.etranoulis.gr/eikona-hxos/eikona-ixos/tv-control,active,direct_single,resources/templates/electronet/tv_control.json,f2e8d9ea25fb1d543f27e3fc2fed6aea15e7b7977a9edca6b8da4718580d15d2,3,6,Διαστάσεις,Βάθος,2,https://www.etranoulis.gr/eikona-hxos/eikona-ixos/tv-control/symvato-thlexeiristhrio-osio-ost-5006-tr
sha1:25d40cc171cae293a01d1098b2a38dbb75cb4dff,keraies,keraies_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Αξεσουάρ > Κεραίες,ΕΙΚΟΝΑ & ΗΧΟΣ,Αξεσουάρ,Κεραίες,Κεραίες,Κεραίες,https://www.etranoulis.gr/eikona-hxos/eikona-ixos/keraies,active,direct_single,resources/templates/electronet/keraies.json,80255db577dc12b996ad8d92c6952cc7d870dce82550ccf9ae81482bbaf9dd33,2,15,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.etranoulis.gr/eikona-hxos/eikona-ixos/keraies/epigeios-psifiakos-dekths-thleorashs-f-u-mpf3473hu
sha1:55864a4525eda9379147cac182db2fedd9e9500a,psifiakoi_apokodikopoiites,psifiakoi_apokodikopoiites_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Αξεσουάρ > Ψηφιακοί Αποκωδικοποιητές,ΕΙΚΟΝΑ & ΗΧΟΣ,Αξεσουάρ,Ψηφιακοί Αποκωδικοποιητές,Ψηφιακοί Αποκωδικοποιητές,Ψηφιακοί Αποκωδικοποιητές,https://www.etranoulis.gr/eikona-hxos/eikona-ixos/pshfiakoi-apokwdikopoihtes,active,direct_single,resources/templates/electronet/psifiakoi_apokodikopoiites.json,44fa7e4bf79b90a5fbfff68891cd872239f117cf81921fe4e6a5f63f741a5873,3,13,Γενικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/eikona-ihos/axesoyar/epigeioi-psifiakoi-dektes/epigeios-psifiakos-dektis-osio-ost-3545d
sha1:33a68e02b3c573bfb06d7158c874a9c403627550,epipla,epipla_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Βάσεις & Έπιπλα TV > Έπιπλα,ΕΙΚΟΝΑ & ΗΧΟΣ,Βάσεις & Έπιπλα TV,Έπιπλα,Έπιπλα,Έπιπλα,https://www.etranoulis.gr/eikona-hxos/vaseis-epipla-tv/epipla,active,direct_single,resources/templates/electronet/epipla.json,77ab6ec69acb1ce32dd6646d67eb11cd4ded7f785db138b25610372ce07b1357,3,5,Διαστάσεις,Βάθος,1,https://www.etranoulis.gr/eikona-hxos/vaseis-epipla-tv/epipla/rafi-toixoy-dmp-drs601
sha1:818c84093197e7fc0849bb5f29c345a1bd4e2765,vaseis,vaseis_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Βάσεις & Έπιπλα TV > Βάσεις,ΕΙΚΟΝΑ & ΗΧΟΣ,Βάσεις & Έπιπλα TV,Βάσεις,Βάσεις,Βάσεις,https://www.etranoulis.gr/eikona-hxos/vaseis-epipla-tv/vaseis,active,direct_single,resources/templates/electronet/vaseis.json,96c5360d572a6844fb8327606c485f447a7054c5ab3b21a81e6bf78444d402b4,2,18,Διαστάσεις / Βάρος,Μεικτό Βάρος,2,https://www.etranoulis.gr/eikona-hxos/vaseis-epipla-tv/vaseis/kydos-k32-46t-vasi-tileorasis-toichou-32-80-45kg-vesa-600-400
sha1:a4815acc782c677a42ac612464839720416b8d58,fotografikes,fotografikes_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Κάμερες > Φωτογραφικές,ΕΙΚΟΝΑ & ΗΧΟΣ,Κάμερες,Φωτογραφικές,Φωτογραφικές,Φωτογραφικές,https://www.etranoulis.gr/eikona-hxos/kameres/fwtografikes,active,direct_single,resources/templates/electronet/fotografikes.json,9c288d591c57a293c4615745e3385c31eb7e92e54549240fbe1d699ee2612227,3,28,Γενικά,Χώρα Κατασκευής,1,https://www.electronet.gr/eikona-ihos/fotografikes-mihanes/mirrorless/fotografiki-mihani-nikon-z-50-kit-dx-16-50mm-f35-63-vr
sha1:dfeb4ad735e983e44b9eb6c886f2a8f081bf07eb,psifiakes_kornizes,psifiakes_kornizes_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Κάμερες > Ψηφιακές κορνίζες,ΕΙΚΟΝΑ & ΗΧΟΣ,Κάμερες,Ψηφιακές κορνίζες,Ψηφιακές κορνίζες,Ψηφιακές κορνίζες,https://www.etranoulis.gr/eikona-hxos/kameres/digital-frames,active,direct_single,resources/templates/electronet/psifiakes_kornizes.json,a62f161ccfdee8e6201d564542f2744c67f18f1dd6ee2227003dbb66bb0acd63,2,11,Γενικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/eikona-ihos/fotografikes-mihanes/psifiakes-kornizes/psifiaki-korniza-sencor-sdf-874-b-8-mayro
sha1:954c8413f2da941e78f3ddce65df522654336c8c,tileoraseis,tileoraseis_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > -,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,,Τηλεοράσεις,Τηλεοράσεις,https://www.etranoulis.gr/eikona-hxos/thleoraseis,active,direct_single,resources/templates/electronet/tileoraseis.json,1dd51a0eca8d077bca7d7eb038719b943cc1db57e08e83c1c0675daa1619a79b,4,31,Γενικά,Διαστάσεις Συσκευής σε Εκατοστά με Βάση (Υ × Π × Β,0,
sha1:bdef05933faf19818da956dd3c57ecdb57245055,radio_cd,radio_cd_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Φορητά > Radio CD,ΕΙΚΟΝΑ & ΗΧΟΣ,Φορητά,Radio CD,Radio CD,Radio CD,https://www.etranoulis.gr/eikona-hxos/foritsa/radio-cd,active,direct_single,resources/templates/electronet/radio_cd.json,c71159cf1d675c763f6d33e3d7359cd2d322fe2ea7fee249830918178f76a468,2,17,Γενικά,Χώρα Κατασκευής,1,https://www.electronet.gr/eikona-ihos/foritos-ihos/radiocd/radio-cd-lenco-scd-420-asimi?v=24362
sha1:671acaba22ebb4ad7ba7185509c9e7831a393776,radiofona,radiofona_electronet_labels_v1,ΕΙΚΟΝΑ & ΗΧΟΣ > Φορητά > Ραδιόφωνα,ΕΙΚΟΝΑ & ΗΧΟΣ,Φορητά,Ραδιόφωνα,Ραδιοφώνα,Ραδιοφώνα,https://www.etranoulis.gr/eikona-hxos/foritsa/radiofwna,active,direct_single,resources/templates/electronet/radiofona.json,af63dc2d9681e7c492e63c640661b266496c70c6172ba901bae39bd5cbec7bd1,3,13,Διαστάσεις,Βάθος,2,https://www.etranoulis.gr/eikona-hxos/foritsa/radiofwna/radiofono-analogiko-muse-m-025R
sha1:4bb8d0fd56f65875fa8b0abae8c1552d8c2b55ca,anemistires,anemistires_electronet_labels_v1,ΚΛΙΜΑΤΙΣΜΟΣ ΘΕΡΜΑΝΣΗ > Ανεμιστήρες > -,ΚΛΙΜΑΤΙΣΜΟΣ ΘΕΡΜΑΝΣΗ,Ανεμιστήρες,,ΑΝΕΜΙΣΤΗΡΕΣ,ΑΝΕΜΙΣΤΗΡΕΣ,https://www.etranoulis.gr/klimatismos-thermansi/anemisthres,active,direct_single,resources/templates/electronet/anemistires.json,967070af030e1152c2cbdce31cccfd63e8da33811978f3a98fce45232faa902b,2,18,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/klimatismos-thermansi/anemisthres/estia-anemistiras-orofis-fos-tilecheiristirio-asimi
sha1:32f30b8444c31bcc3166209cf3008819c55c3d43,air_coolers_epidapedioi,air_coolers_epidapedioi_electronet_labels_v1,ΚΛΙΜΑΤΙΣΜΟΣ ΘΕΡΜΑΝΣΗ > Ανεμιστήρες > Air Coolers & Επιδαπέδιοι,ΚΛΙΜΑΤΙΣΜΟΣ ΘΕΡΜΑΝΣΗ,Ανεμιστήρες,Air Coolers & Επιδαπέδιοι,Air Coolers & Επιδαπέδιοι,Air Coolers & Επιδαπέδιοι,https://www.etranoulis.gr/klimatismos-thermansi/anemisthres/aircoolers-epidapedioi,active,direct_single,resources/templates/electronet/air_coolers_epidapedioi.json,77745d58485cd8bd67b99607adba6b6455b9e5f38dcad43d6ea5dee03db8ce7b,2,18,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/klimatismos-thermansi/anemisthres/aircoolers-epidapedioi/air-cooler-olimpia-splendid-peler-4t
